ID, Beans, Bread, Cerel,ChdBby, Chips,  Corn,  Eggs,  Fish, Fruit,  Meat,  Milk,Pepper,  Rice, Salza, Sauce,  Soda,Tomato,Tortya,Vegges,YogChs
162,     7,     3,     4,     6,     0,     0,     3,     2,     3,     3,     3,     0,     9,     3,     9,     1,     1,     2,     7,     7
163,     6,     1,     2,     3,     4,     2,     8,     4,     5,    10,     5,     3,     9,     2,     1,     1,     4,     8,     7,    10
164,     0,     5,     5,     6,     3,     1,     7,     6,     3,     8,     3,     2,     9,     2,     1,     1,     2,     1,     6,     2
165,     0,     3,     9,     3,    10,     0,     4,     2,     6,     7,     1,     1,     0,     1,     2,     6,     2,     1,     1,     0
166,     9,     6,     7,     7,    10,     5,     5,     2,     6,     4,     6,     7,     7,     8,     1,     1,     4,    10,     7,     8
167,     7,     1,     4,     5,     2,     0,     0,     2,     6,     0,     0,     1,     6,     1,    10,     0,     0,     1,     5,     5
168,     2,     2,     7,     6,     0,     0,     8,     9,     4,     7,     5,     1,     9,     2,     1,     1,     4,     2,     6,     1
169,     5,     2,     3,     5,     2,     8,     5,     2,     4,     8,     2,     3,     8,     2,     1,     1,     5,     7,    10,     9
170,     5,     6,     9,     4,     4,     1,     5,     2,     3,     7,    10,     7,     7,     1,     2,     0,     1,     1,     8,     5
171,     3,     6,    10,     8,     7,     0,     8,     0,     6,     6,     0,     1,     0,     2,     2,     9,     0,     1,     2,     0
172,     3,     1,     0,     7,     1,     4,     6,     2,     3,     8,     1,     6,     8,     2,     0,     0,     9,     7,     9,     7
173,     4,     8,     9,     6,     2,     0,     5,     2,     3,     7,     8,     6,     6,     1,     2,     2,     3,     0,     9,     8
174,     6,     1,     1,     9,     2,     4,     6,     1,     7,     7,     2,     6,     8,     1,     2,     1,     7,     7,     9,    10
175,     3,     3,     9,     3,     9,     2,     6,     0,     6,     6,     0,     0,     1,     2,     3,    10,     1,     3,     0,     1
176,     2,     7,     6,     7,     4,     1,     7,     2,     6,     7,     8,     6,     4,     2,     2,     2,     2,     0,     9,     4
177,     3,     6,    10,     3,     0,     1,     4,     1,     5,     7,     9,     4,     5,     1,     1,     0,     0,     1,     7,     7
178,     9,     3,     7,     3,     1,     0,     2,     4,     4,     1,     1,     2,    10,     2,     6,     2,     0,     1,     6,     6
179,     5,     0,     7,     7,     0,     0,     2,     1,     4,     1,     2,     2,     7,     1,     7,     0,     1,     1,     7,     5
180,     8,     4,     4,     5,     9,     4,     3,     3,     2,     5,     6,     9,     6,     8,     1,     0,     8,     6,     5,     5
181,     7,     4,     7,     3,     9,     6,     5,     1,     3,     4,     6,     9,     7,     9,     1,     0,     6,    10,     7,     7
182,     1,     4,     8,     6,    10,     1,     2,     0,     6,     7,     1,     2,     3,     1,     3,     8,     1,     1,     2,     1
183,     9,     5,     8,     4,     0,     2,     2,     0,     6,     1,     0,     1,     7,     2,    10,     1,     1,     3,     8,     5
184,     3,     1,     7,     5,     6,     1,     8,     3,     7,     9,     1,     3,     0,     1,     1,     6,     3,     2,     1,     0
185,     2,     8,     7,     4,     9,     2,     5,     4,     4,     6,     1,     3,     1,     3,     0,     9,     3,     5,     3,     1
186,     5,     5,     7,     4,     8,     1,     3,     1,     7,     8,     2,     3,     1,     3,     1,     5,     2,     2,     1,     0
187,     2,     4,     6,     5,     6,     0,     7,     2,     6,     7,     3,     4,     3,     3,     1,     6,     1,     2,     5,     1
188,     6,     1,     1,     2,     4,     3,     7,     1,     9,     8,     2,     4,     6,     2,     0,     0,     8,     6,     8,    10
189,     3,     0,     1,     5,     1,     6,     7,     2,     3,     8,     5,     5,     9,     4,     0,     2,     7,     9,     8,     8
190,     1,     3,    10,     4,     6,     0,     4,     1,     5,     8,     1,     3,     0,     1,     1,     8,     6,     1,     3,     0
191,     8,     2,     9,     8,     0,     1,     1,     2,     5,     0,     1,     1,     9,     3,    10,     0,     1,     1,     9,     8
192,     0,     2,     8,     5,     8,     3,     6,     1,     4,    10,     0,     1,     2,     3,     1,     8,     1,     0,     3,     1
193,     3,     3,     9,     6,     8,     1,     5,     2,     6,     8,     1,     3,     1,     1,     0,     6,     3,     2,     1,     0
194,     1,     4,     7,     5,    10,     1,     6,     1,     5,     8,     3,     3,     1,     1,     1,     8,     3,     4,     1,     0
195,     2,     4,     4,     6,     2,     1,     7,     7,     4,     5,     5,     0,     6,     2,     2,     1,     4,     1,     7,     3
196,     2,     5,     8,     4,     3,     2,     5,     2,     6,     7,     6,     8,     6,     2,     0,     0,     1,     1,     7,     7
197,     2,     6,     5,     4,    10,     0,     5,     2,     3,     8,     1,     0,     2,     1,     0,     8,     5,     1,     3,     0
198,     3,     2,     4,     2,     5,     2,     4,     1,     6,     8,     4,     1,     0,     3,     2,     8,     0,     3,     3,     2
199,     0,     2,     9,     4,     3,     1,    10,     7,     8,     6,     6,     1,     8,     1,     2,     1,     1,     0,     5,     1
200,     0,     8,     9,     2,     3,     5,     7,     1,     6,     5,     9,     6,     6,     0,     0,     0,     0,     0,    10,     5
201,     3,     0,     0,     8,     2,     4,     5,     1,     2,     8,     2,     1,     7,     2,     1,     1,     9,     5,     9,     9
202,     2,     5,     6,     3,     1,     0,     7,     6,     6,     6,     6,     3,     8,     0,     0,     2,     3,     1,     5,     4
203,    10,     7,     6,     9,     0,     0,     0,     1,     7,     1,     1,     1,     4,     1,     8,     0,     2,     4,     7,     7
204,     2,     1,     6,     4,     4,     0,     6,     1,     5,     8,     4,     1,     2,     4,     0,    10,     0,     2,     1,     1
205,     4,     6,     9,     6,     3,     2,     5,     1,     6,     8,     6,     4,     7,     0,     1,     2,     3,     0,     6,     6
206,     9,     5,     7,     3,     0,     1,     1,     0,     4,     1,     1,     1,     8,     2,     8,     0,     1,     1,     8,     6
207,     4,     1,     2,     5,     3,     4,     4,     0,     5,     6,     1,     4,     7,     1,     0,     1,     4,     9,    10,    10
208,     1,     6,     8,     3,     4,     0,     6,     1,     3,     8,     8,     5,     6,     0,     2,     4,     0,     0,     7,     7
209,     5,     1,     2,     3,     4,     6,     8,     2,     4,     8,     2,     2,     9,     0,     3,     0,     4,     7,    10,     9
210,     8,     3,     6,     5,     0,     1,     0,     5,     4,     1,     3,     0,    10,     0,     9,     0,     0,     1,     8,     6
211,     0,     4,     5,     3,     7,     0,     4,     1,     5,     5,     3,     2,     3,     2,     0,     8,     2,     2,     1,     2
212,     2,     7,     5,     5,     4,     1,     5,     2,     7,     8,     8,     2,     4,     2,     1,     0,     0,     1,     6,     3
213,     1,     6,     7,     3,     2,     0,     6,     1,     6,     3,     9,     5,     5,     1,     2,     1,     1,     0,     7,     5
214,     7,     2,     5,     3,     0,     0,     2,     0,     7,     2,     2,     1,     6,     4,     9,     0,     1,     0,     6,     7
215,     1,     3,     5,     4,     9,     1,     6,     0,     6,     7,     1,     1,     1,     3,     0,     8,     3,     0,     3,     2
216,     7,     1,     6,     5,     1,     0,     0,     5,     3,     0,     4,     3,     6,     3,     9,     1,     0,     1,     7,     4
217,     0,     5,     5,     4,     9,     0,     6,     2,     4,     5,     2,     2,     0,     1,     0,     7,     2,     0,     3,     2
218,     2,     4,     6,     6,     7,     0,     2,     1,     8,     5,     2,     1,     1,     2,     0,     9,     3,     2,     2,     1
219,     2,     3,     9,     4,     5,     2,     4,     3,     6,     5,     9,     6,     5,     4,     0,     0,     1,     0,     9,     6
220,     0,     2,     7,     5,     9,     2,     6,     1,     4,    10,     0,     1,     1,     2,     2,     9,     2,     0,     2,     2
221,     4,     1,     0,     5,     3,     4,     8,     3,     6,     8,     2,     5,     7,     0,     0,     1,     7,     5,    10,     7
222,     2,     9,     5,     1,     5,     1,     4,     2,     6,     7,     7,     6,     4,     1,     2,     1,     1,     0,     7,     3
